date,media_key,media_name,platform,placement_id,placement_name,placement_type,thirdparty_id,thirdparty_name,report_type,request_value,response_value,impression_value,click_value,revenue_usd,fill_rate,ctr,ecpm
2026-04-19,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,0,Adpopcorn SSP,1,2251,848,465,169,3.365810,20.66,36.34,7.2383
2026-04-19,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,21,AppLovin WF,4,0,0,1,1,0.000000,0.00,100.00,0.0000
2026-04-19,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,16,Fyber,4,32,0,2,0,0.002000,6.25,0.00,1.0000
2026-04-19,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,34,ID 34,4,1243,1243,637,52,1.010509,51.25,8.16,1.5864
2026-04-19,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,18,Pangle,4,25,16,6,2,0.000000,24.00,33.33,0.0000
2026-04-19,152630613,황금거위(AOS),,AIeWRQ2R5CbBNyO,황금거위_보너스캐시_RV_Android,RV,14,Vungle,4,0,0,1,1,0.000230,0.00,100.00,0.2300
2026-04-19,880605234,황금거위(iOS),,efq4IKkCEZ9y55e,황금거위_보너스캐시_RV_iOS,RV,0,Adpopcorn SSP,1,154,29,5,0,0.011045,3.25,0.00,2.2090
2026-04-19,880605234,황금거위(iOS),,efq4IKkCEZ9y55e,황금거위_보너스캐시_RV_iOS,RV,34,ID 34,4,141,141,74,4,0.283168,52.48,5.41,3.8266
2026-04-19,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,0,Adpopcorn SSP,1,544,158,77,15,0.396458,14.15,19.48,5.1488
2026-04-19,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,21,AppLovin WF,4,0,0,1,1,0.000000,0.00,100.00,0.0000
2026-04-19,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,16,Fyber,4,11,0,0,0,0.000000,0.00,0.00,0.0000
2026-04-19,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,34,ID 34,4,348,348,170,12,0.278488,48.85,7.06,1.6382
2026-04-19,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,18,Pangle,4,10,8,0,0,0.000000,0.00,0.00,0.0000
2026-04-19,152630613,황금거위(AOS),,nrbMhFxX4AEcFxq,황금거위_출석체크_RV_Android,RV,14,Vungle,4,0,0,1,0,0.000461,0.00,0.00,0.4610
2026-04-19,880605234,황금거위(iOS),,pri9mYRn7kAgmbp,황금거위_출석체크_RV_iOS,RV,0,Adpopcorn SSP,1,70,24,6,1,0.023568,8.57,16.67,3.9280
2026-04-19,880605234,황금거위(iOS),,pri9mYRn7kAgmbp,황금거위_출석체크_RV_iOS,RV,34,ID 34,4,57,57,27,0,0.159620,47.37,0.00,5.9119
2026-04-19,152630613,황금거위(AOS),,TKeAFuGGcj4nJkY,BANNER_320x50_ADNROID,배너,0,Adpopcorn SSP,1,6317,4028,4000,4,0.180354,63.32,0.10,0.0451
2026-04-19,880605234,황금거위(iOS),,K7ycD8gltcncKGp,BANNER_320x50_iOS,배너,0,Adpopcorn SSP,1,448,292,291,0,0.058527,64.96,0.00,0.2011
2026-04-19,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,0,Adpopcorn SSP,1,9881,2712,2002,760,8.400440,20.26,37.96,4.1960
2026-04-19,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,21,AppLovin WF,4,0,0,3,3,0.000000,0.00,100.00,0.0000
2026-04-19,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,16,Fyber,4,162,0,31,15,0.031000,19.14,48.39,1.0000
2026-04-19,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,34,ID 34,4,6299,6299,4596,325,5.114682,72.96,7.07,1.1129
2026-04-19,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,18,Pangle,4,138,91,42,2,0.010000,30.43,4.76,0.2381
2026-04-19,152630613,황금거위(AOS),,4zLAQUTzDGMz2Oi,황금거위_황금알_IV_Android,전면,14,Vungle,4,0,0,2,1,0.000454,0.00,50.00,0.2270
