date,placement_type,request_value,response_value,impression_value,click_value,revenue_usd,fill_rate,ctr,ecpm
2026-05-06,RV,26724,5113,3097,519,8.861858,11.5888,16.7582,2.8614
2026-05-06,배너,5999,3851,3873,3,0.154348,64.5608,0.0775,0.0399
2026-05-06,전면,57521,9040,7386,1251,14.439459,12.8405,16.9374,1.9550
2026-05-07,RV,22163,4249,3516,448,11.106762,15.8643,12.7418,3.1589
2026-05-07,배너,6236,3955,6848,3,0.343692,109.8140,0.0438,0.0502
2026-05-07,전면,45972,7254,7987,898,19.229537,17.3736,11.2433,2.4076
2026-05-08,RV,4985,10,3223,1,13.608810,64.6540,0.0310,4.2224
2026-05-08,배너,4453,7,10473,0,0.664472,235.1898,0.0000,0.0634
2026-05-08,전면,11236,374,7579,7,22.533582,67.4528,0.0924,2.9732
2026-05-09,RV,5540,14,3586,0,16.637212,64.7292,0.0000,4.6395
2026-05-09,배너,4792,5,7731,0,0.688070,161.3314,0.0000,0.0890
2026-05-09,전면,10239,47,7728,1,22.346189,75.4761,0.0129,2.8916
2026-05-10,RV,5868,16,3627,1,15.844640,61.8098,0.0276,4.3685
2026-05-10,배너,5050,2,6809,0,0.623210,134.8317,0.0000,0.0915
2026-05-10,전면,10653,27,8053,1,25.640104,75.5937,0.0124,3.1839
2026-05-11,RV,6188,20,3682,0,16.401139,59.5023,0.0000,4.4544
2026-05-11,배너,5455,13,7068,0,0.610105,129.5692,0.0000,0.0863
2026-05-11,전면,11402,33,8300,0,24.097976,72.7942,0.0000,2.9034
2026-05-12,RV,5791,0,3646,0,16.658916,62.9598,0.0000,4.5691
2026-05-12,배너,5206,0,7523,0,0.612084,144.5063,0.0000,0.0814
2026-05-12,전면,11162,6,8534,0,26.970952,76.4558,0.0000,3.1604
2026-05-13,RV,6063,13,3739,0,15.693413,61.6691,0.0000,4.1972
2026-05-13,배너,5338,5,6584,0,0.539600,123.3421,0.0000,0.0820
2026-05-13,전면,11389,14,8234,0,23.012797,72.2978,0.0000,2.7949
2026-05-14,RV,5980,0,3805,0,16.244370,63.6288,0.0000,4.2692
2026-05-14,배너,5325,0,6768,0,0.611750,127.0986,0.0000,0.0904
2026-05-14,전면,11182,4,8384,1,25.728062,74.9776,0.0119,3.0687
2026-05-15,RV,6229,23,3880,0,19.462528,62.2893,0.0000,5.0161
2026-05-15,배너,5524,14,6739,0,0.542413,121.9949,0.0000,0.0805
2026-05-15,전면,11404,23,8429,1,23.978662,73.9127,0.0119,2.8448
2026-05-16,RV,6089,0,3701,1,20.400448,60.7817,0.0270,5.5121
2026-05-16,배너,5311,0,6627,0,0.578068,124.7788,0.0000,0.0872
